title,price,reference,image_url
pc portable asus vivobook 15 x1504 / i3 13è gén / 12 go / win11 / bleu,1109000.0,[X1504VA-NJ519W-12],
pc portable hp 15-fd0051nk / i3-n305 / 8 go / 512 go ssd / gold / windows 11 pro,1109000.0,[A2AN9EA-W11P],
pc portable asus vivobook 15 x1504 / i3 13è gén / 12 go / win11 / silver,1109000.0,[X1504VA-NJ520W-12],
pc portable hp 15-fd0051nk / i3-n305 / 16 go / 512 go ssd / gold,1109000.0,[A2AN9EA-16],
pc portable dell vostro 3520 / i3-1215u / 24 go / 512 go ssd / noir,1119000.0,[V3520I3-UBU-24],
pc portable asus expertbook b2 b2502cba / i3-1215u /  8go / 512go ssd / bleu,1119000.0,[B2502CBA-KJ1662],
pc portable lenovo v15 g3 iap / i3-1215u / 8 go / 512 go ssd / noir avec sacoche,1129000.0,[82TT00RJFE-2Y],
pc portable asus vivobook 15 x1504 / i3 13è gén / 16 go / win11 / bleu,1129000.0,[X1504VA-NJ480W-16],
pc portable asus vivobook 15 x1504 / i3 13è gén / 16 go / win11 / silver,1129000.0,[X1504VA-NJ432W-16],
pc portable asus asus chromebook 15 cx1500cka / intel pentium silver n6000 / 8 go / chrome zte / silver,1129000.0,[90NX03Y2-M00240],
pc portable dell vostro 3530 / i3-1305u / 24 go / noir,1129000.0,[V3530I3-24],
pc portable asus vivobook 15 x1504va / i3-1315u / 8 go / 512 go ssd / windows 11 / bleu,1139000.0,[X1504VA-NJ518W],
pc portable hp 15-fd0053nk / i3-n305 / 8 go / 512 go ssd / silver,1149000.0,[A2AP0EA],
pc portable hp 15-fd0052nk / i3-n305 / 8 go / 512 go ssd / bleu,1149000.0,[A2MM1EA],
pc portable asus vivobook 15 x1504 / i3 13è gén / 20 go / win11 / bleu,1149000.0,[X1504VA-NJ519W-20],
pc portable asus vivobook 15 x1504 / i3 13è gén / 20 go / win11 / silver,1149000.0,[X1504VA-NJ520W-20],
pc portable msi modern 15 - b12mo / i3-1215u / 16 go / 512 go ssd / windows 11 pro,1159000.0,[B12MO-1019XFR-W],
pc portable asus vivobook 15 x1504 / i3 13è gén / 24 go / win11 / silver,1159000.0,[X1504VA-NJ432W-24],
pc portable dell vostro 3530 / i3-1305u / 8 go / 512 go ssd / noir,1179000.0,[N1612QVNB3530-UBU],
pc portable asus expertbook b2 b2502cba / i3-1215u /  16go / 512go ssd / bleu,1189000.0,[B2502CBA-KJ1662-16],
pc portable dell vostro 3530 / i3-1305u / 8 go / noir,1189000.0,[N1612PVNB3530-UBU],
pc portable dell vostro 3520 / i3-1215u / 32 go / 512 go ssd / noir,1189000.0,[V3520I3-UBU-32],
pc portable dell vostro 3530 / i3-1305u / 32 go / noir,1205000.0,[V3530I3-32],
pc portable hp 15-fd0053nk / i3-n305 / 8 go / 512 go ssd / windows 11 / silver,1209000.0,[A2AP0EA-W11P],
pc portable hp 15-fd0051nk / i3-n305 / 32 go / 512 go ssd / gold,1209000.0,[A2AN9EA-32],
pc portable hp 15-fd0053nk / i3-n305 / 16 go / 512 go ssd / silver,1209000.0,[A2AP0EA-16],
pc portable hp 15-fd0052nk / i3-n305 / 16 go / 512 go ssd / bleu,1209000.0,[A2MM1EA-16],
pc portable dell vostro 3530 / i3-1305u / 12 go / noir,1209000.0,[N1612PVNB3530-UBU-12],
pc portable asus expertbook b2 b2502cba / i3-1215u /  24 go / 512go ssd / bleu,1229000.0,[B2502CBA-KJ1662-24],
pc portable dell vostro 3530 / i3-1305u / 16 go / noir,1229000.0,[N1612PVNB3530-UBU-16],
pc portable dell vostro 3530 / i3-1305u / 16 go / noir / windows 11 pro,1235000.0,[V3530I3-16-W11P],
pc portable dell vostro 3530 / i3-1305u / 16 go / 512 go ssd / noir,1239000.0,[N1612QVNB3530-UBU-16],
pc portable asus vivobook 15 x1504 / i3 13è gén / 20 go / win11 / bleu  avec sacoche offerte,1239000.0,[X1504V-NJ519-20SAC],
pc portable asus vivobook 15 x1502za / i3 12è gén / 20 go / win11 / bleu + sac à dos offerte,1250000.0,[X1502ZA-EJ674W-20],
pc portable asus vivobook 15 x1504va / u3-100u / 8 go / 512 go ssd / windows 11 / bleu,1255000.0,[X1504VA-NJ784W],
pc portable dell vostro 3525 / ryzen 5 5500u  / 12 go / 512 go / windows 11,1259000.0,[V3525RYZEN5-12],
pc portable hp 15-fd0053nk / i3-n305 / 16 go / 512 go ssd / windows 11 / silver,1269000.0,[A2AP0EA-16-W11P],
pc portable dell vostro 3530 / i3-1305u / 24 go / noir,1275000.0,[N1612PVNB3530-UBU-24],
pc portable dell vostro 3530 / i3-1305u / 24 go / 512 go ssd / noir,1279000.0,[N1612QVNB3530-UBU-24],
pc portable asus expertbook b2 b2502cba / i3-1215u /  32 go / 512go ssd / bleu,1285000.0,[B2502CBA-KJ1662-32],
pc portable lenovo v15 g4 amn / ryzen 5 7520u / 8 go / 512 go ssd / noir / windows 11,1299000.0,[82YU00CUFE-W11P],
