title,price,reference,description
pc portable asus vivobook 15 x1504va i3 13è gén 12go 256go ssd - silver,1109000.0, [X1504VA-NJ520W-12G],
pc portable asus vivobook 15 x1504va i3 13è gén 12go 256go ssd - bleu,1109000.0, [X1504VA-NJ519W-12G],
pc portable lenovo ideapad 1 15iau7 i3 12è gén 16go 256go ssd - gris,1109000.0, [82QD00C2FG-16G],
pc portable lenovo ideapad 1 15iau7 i3 12è gén 20go 256go ssd - bleu,1119000.0, [82QD00AQFE-20G],
pc portable asus vivobook 15 x1504va i3 13è gén 16go 256g ssd - silver,1129000.0, [X1504VA-NJ432W-16G],
pc portable asus vivobook 15 x1504va i3 13è gén 16go 256g ssd - bleu,1129000.0, [X1504VA-NJ480W-16G],
pc portable asus chromebook cx1 pentium silver n6000 8go 32go emmc - silver,1129000.0, [CX1500CKA-EJ0021],
pc portable hp 15-fc0030nk amd ryzen 3 8go 512go ssd - silver & or chaud,1129000.0, [A2AN7EA],
pc portable lenovo ideapad slim 3 15iru8 i3 13è gén 8g 256go ssd - gris,1129000.0, [BU-82X7009RFG-W11P],
pc portable asus expertbook b2 b2502c i3 12è gén 12go 512go ssd - noir,1139000.0, [B2502CBA-KJ1662-12G],
pc portable dell vostro 3520 i3 12è gén 32go 512go ssd - noir,1149000.0, [V3520-I3-512SSD-32G],
pc portable asus vivobook 15 x1504va i3 13è gén 20go 256go ssd - silver,1149000.0, [X1504VA-NJ520W-20G],
pc portable asus vivobook 15 x1504va i3 13è gén 20go 256go ssd - bleu,1149000.0, [X1504VA-NJ519W-20G],
pc portable lenovo ideapad 3 15itl6 i3 11è gén 8go 256go ssd - gris,1149000.0, [82H802B0FE-8G],
pc portable hp 15-fd0060nk i3-n305 16go 256go ssd - silver,1159000.0, [A2AP4EA-16G],
pc portable hp 15-fd0057nk i3-n305 16go 256go ssd - silver & bleu,1159000.0, [A2AP3EA-16G],
pc portable hp 15-fd0056nk i3-n305 16go 256go ssd - silver & or chaud,1159000.0, [A2AP2EA-16G],
pc portable lenovo ideapad 1 15iau7 i3 12è gén 24go 256go ssd - gris,1165000.0, [82QD00C2FG-24G],
pc portable asus vivobook 15 x1504va i3 13è gén 24go 256g ssd - silver,1169000.0, [X1504VA-NJ432W-24G],
pc portable asus vivobook 15 x1504va i3 13è gén 24go 256g ssd - bleu,1169000.0, [X1504VA-NJ480W-24G],
pc portable hp 15-fd0056nk i3-n305 8g 256go ssd - silver & or chaud,1169000.0, [BU-A2AP2EA],
pc portable hp 15-fd0057nk i3-n305 8g 256go ssd - silver & bleu,1169000.0, [BU-A2AP3EA],
pc portable hp 15-fd0060nk i3-n305 8g 256go ssd - silver,1169000.0, [BU-A2AP4EA],
pc portable hp 15-fd0055nk i3-n305 8go 512go ssd - noir,1169000.0, [A2AP1EA],
pc portable hp 15-fd0053nk i3-n305 8go 512go ssd - silver,1169000.0, [A2AP0EA],
pc portable hp 15-fd0051nk i3-n305 8go 512go ssd - silver & or chaud,1169000.0, [A2AN9EA],
pc portable asus expertbook b2 b2502c i3 12è gén 16go 512go ssd - noir,1179000.0, [B2502CBA-KJ1662-16G],
pc portable hp 15-fd0056nk i3-n305 16g 256go ssd - silver & or chaud,1219000.0, [BU-A2AP2EA-16G],
pc portable hp 15-fd0057nk i3-n305 16g 256go ssd - silver & bleu,1219000.0, [BU-A2AP3EA-16G],
pc portable hp 15-fd0060nk i3-n305 16g 256go ssd - silver,1219000.0, [BU-A2AP4EA-16G],
pc portable asus expertbook b2 b2502c i3 12è gén 24go 512go ssd - noir,1229000.0, [B2502CBA-KJ1662-24G],
pc portable hp 15-fd0055nk i3-n305 8g 512go ssd - noir,1229000.0, [BU-A2AP1EA],
pc portable hp 15-fd0051nk i3-n305 16go 512go ssd - silver & or chaud,1229000.0, [A2AN9EA-16G],
pc portable hp 15-fd0055nk i3-n305 16go 512go ssd - noir,1229000.0, [A2AP1EA-16G],
pc portable hp 15-fd0053nk i3-n305 16go 512go ssd - silver,1229000.0, [A2AP0EA-16G],
pc portable dell vostro 3520 i5 12ème gén 4g 256go ssd - noir,1239000.0, [633640-3520],
pc portable lenovo v15 g4 amn amd ryzen 5 8go 512go ssd - noir,1239000.0, [82YU00CUFE],
pc portable dell vostro 3520 i5 12ème gén 8g 256go ssd - noir,1279000.0, [633640-3520-8G],
pc portable hp 15-fc0018nk amd ryzen 3 8go 512go ssd - silver & bleu,1285000.0, [886J8EA],
pc portable hp 15-fd0055nk i3-n305 16g 512go ssd - noir,1289000.0, [BU-A2AP1EA-16G],
pc portable dell vostro 3520 i5 12è gén 8go 512go ssd - noir,1299000.0, [V3520-I5-512SSD],
pc portable lenovo ideapad 1 15alc7 amd ryzen 5 8go 512go ssd - bleu,1299000.0, [82R400F7FG],
pc portable lenovo ideapad slim 3 15amn8 amd ryzen 5 8go 512go ssd - gris,1309000.0, [82XQ00DLFG],
pc portable dell vostro 3520 i5 12ème gén 12go 256g ssd - noir,1315000.0, [633640-3520-12G],
pc portable dell vostro 3520 i5 12ème gén 12go 512go ssd - noir,1319000.0, [V3520-I5-512SSD-12G],
pc portable hp 15-fc0019nk amd ryzen 3 8go 512go ssd - silver,1319000.0, [886J9EA],
pc portable lenovo ideapad 1 15alc7 amd ryzen 5 12go 512go ssd - bleu,1319000.0, [82R400F7FG-12G],
pc portable lenovo ideapad 1 15alc7 amd ryzen 5 16go 512go ssd - bleu,1355000.0, [82R400F7FG-16G],
pc portable dell vostro 3520 i5 12ème gén 16go 512go ssd - noir,1359000.0, [V3520-I5-512SSD-16G],
pc portable dell vostro 3520 i5 12ème gén 20go 256go ssd - noir,1365000.0, [BU-N4005PVNB3520-20G],
pc portable dell vostro 3520 i5 12ème gén 20g 256go ssd - noir,1389000.0, [633640-3520-20G],
pc portable lenovo ideapad 1 15amn7 amd ryzen 5 16go 512go ssd - gris,1389000.0, [82VG00NXFG],
pc portable dell vostro 3520 i5 12ème gén 24go 512go ssd - noir,1399000.0, [V3520-I5-512SSD-24G],
pc portable lenovo ideapad 1 15alc7 amd ryzen 5 24go 512go ssd - bleu,1399000.0, [82R400F7FG-24G],
pc portable dell vostro 3520 i5 12è gén 20go 256g ssd - noir,1415000.0, [BU-N4005PVNB3520-20G-W11],
pc portable lenovo v15 g4 iru i5 13è gén 8go 256go ssd - noir,1445000.0, [83A1009DFE],
pc portable lenovo thinkbook 16 g6 irl i3 13è gén 8go 512go ssd - gris,1449000.0, [21KH00SPFE],
pc portable lenovo ideapad 3 15alc6 amd ryzen 7 8g 512go ssd - gris,1465000.0, [82KU00H4FE],
pc portable hp 15-fd0267nk i5 13è gén 8go 256go ssd - gris,1469000.0, [A2AQ0EA],
pc portable lenovo ideapad slim 3 15iah8 i5 12è gén 8g 512go ssd - gris,1469000.0, [83ER00DUFG],
pc portable lenovo ideapad 3 15iau7 i5 12è gén 8go 512g ssd - bleu,1469000.0, [82RK0174FG],
pc portable lenovo ideapad 3 15alc6 amd ryzen 7 12g 512go ssd - gris,1495000.0, [82KU00H4FE-12G],
pc portable lenovo v15 g4 iru i5 13è gén 16go 256go ssd - noir,1499000.0, [83A1009DFE-16G],
pc portable lenovo v15 g4 iru i5 13è gén 8g 256go ssd - noir,1505000.0, [BU-83A1009DFE-W11P],
pc portable lenovo ideapad slim 3 15iah8 i5 12è gén 8go 512g ssd - gris,1529000.0, [BU-83ER00DUFG-W11P],
pc portable lenovo ideapad slim 3 15irh8 i5 13è gén 8go 512g ssd - gris,1529000.0, [83EM008TFG],
pc portable lenovo ideapad slim 3 15irh8 i5 13è gén 8go 512go ssd - gris,1529000.0, [83EM0061FG],
pc portable lenovo v15 g4 iru i5 13è gén 8go 512go ssd - noir,1535000.0, [83A1009HFE],
pc portable lenovo ideapad 3 15alc6 amd ryzen 7 20g 512go ssd - gris,1539000.0, [82KU00H4FE-20G],
pc portable lenovo v15 g4 iru i5 13è gén 24go 256go ssd - noir,1549000.0, [83A1009DFE-24G],
pc portable lenovo v15 g4 iru i5 13è gén 16g 256go ssd - noir,1559000.0, [BU-83A1009DFE-16G-W11P],
pc portable lenovo v15 g4 iru i5 13è gén 12go 512go ssd - noir,1565000.0, [83A1009HFE-12G],
pc portable asus vivobook 15 x1502va i5 13è gén 8go 512go ssd - silver,1589000.0, [X1502VA-NJ231W],
pc portable asus vivobook 15 x1502va i5 13è gén 8go 512go ssd - bleu,1589000.0, [X1502VA-NJ147W],
pc portable lenovo v15 g4 iru i5 13è gén 8go 512g ssd - noir,1595000.0, [BU-83A1009HFE-W11P],
pc portable lenovo v15 g4 iru i5 13è gén 16go 512go ssd - noir,1605000.0, [83A1009HFE-16G],
pc portable asus vivobook 15 x1502va i5 13è gén 12go 512go ssd - silver,1609000.0, [X1502VA-NJ231W-12G],
pc portable lenovo v15 g4 iru i5 13è gén 24g 256go ssd - noir,1609000.0, [BU-83A1009DFE-24G-W11P],
pc portable asus vivobook 15 x1502va i5 13è gén 12go 512go ssd - bleu,1609000.0, [X1502VA-NJ147W-12G],
pc portable hp 15-fd0097nk i5 13è gén 8go 512go ssd - noir,1619000.0, [A2AP8EA],
pc portable hp 15-fd0094nk i5 13è gén 8go 512go ssd - silver & bleu,1619000.0, [A2AP5EA],
pc portable hp 15-fd0093nk i5 13è gén 8go 512go ssd - silver & or chaud,1619000.0, [A2AP6EA],
pc portable hp 15-fd0095nk i5 13è gén 8go 512go ssd - silver,1619000.0, [A2AP7EA],
pc portable lenovo v15 g4 iru i5 13è gén 12g 512go ssd - noir,1625000.0, [BU-83A1009HFE-12G-W11P],
pc portable hp 15-fd0095nk i5 13è gén 12go 512go ssd - silver,1635000.0, [A2AP7EA-12G],
pc portable hp 15-fd0093nk i5 13è gén 12go 512go ssd - silver & or chaud,1635000.0, [A2AP6EA-12G],
pc portable hp 15-fd0094nk i5 13è gén 12go 512go ssd - silver & bleu,1635000.0, [A2AP5EA-12G],
pc portable hp 15-fd0097nk i5 13è gén 12go 512go ssd - noir,1635000.0, [A2AP8EA-12G],
pc portable asus vivobook 16 x1605va i5 13è gén 8go 512go ssd - silver,1639000.0, [X1605VA-MB475W],
pc portable asus vivobook 15 x1502va i5 13è gén 16go 512go ssd - bleu,1639000.0, [X1502VA-NJ147W-16G],
pc portable asus vivobook 15 x1502va i5 13è gén 16go 512go ssd - silver,1645000.0, [X1502VA-NJ231W-16G],
pc portable lenovo v15 g4 iru i5 13è gén 24go 512go ssd - noir,1645000.0, [83A1009HFE-24G],
pc portable hp 15-fd0041nk i5 13è gén 8go 512go ssd - silver & bleu,1659000.0, [9D6V9EA],
pc portable hp 15-fd0042nk i5 13è gén 8go 512go ssd - silver,1659000.0, [9D6W0EA],
pc portable hp 15-fd0048nk i5 13è gén 8go 512go ssd - silver & or chaud,1659000.0, [9D6W1EA],
pc portable asus vivobook 16 x1605va i5 13è gén 12go 512go ssd - silver,1659000.0, [X1605VA-MB475W-12G],
pc portable lenovo v15 g4 iru i5 13è gén 16go 512g ssd - noir,1665000.0, [BU-83A1009HFE-16G-W11P],
pc portable hp 15-fd0095nk i5 13è gén 16go 512go ssd - silver,1669000.0, [A2AP7EA-16G],
pc portable hp 15-fd0093nk i5 13è gén 16go 512go ssd - silver & or chaud,1669000.0, [A2AP6EA-16G],
pc portable hp 15-fd0094nk i5 13è gén 16go 512go ssd - silver & bleu,1669000.0, [A2AP5EA-16G],
pc portable hp 15-fd0097nk i5 13è gén 16go 512go ssd - noir,1669000.0, [A2AP8EA-16G],
pc portable hp 15-fd0041nk i5 13è gén 12go 512go ssd - silver & bleu,1679000.0, [9D6V9EA-12G],
pc portable hp 15-fd0042nk i5 13è gén 12go 512go ssd - silver,1679000.0, [9D6W0EA-12G],
pc portable hp 15-fd0048nk i5 13è gén 12go 512go ssd - silver & or chaud,1679000.0, [9D6W1EA-12G],
pc portable hp 15-fd0093nk i5 13ème gén 8go 512go ssd - silver & or chaud,1679000.0, [BU-A2AP6EA],
pc portable hp 15-fd0095nk i5 13è gén 8g 512go ssd - silver,1679000.0, [BU-A2AP7EA],
pc portable hp 15-fd0094nk i5 13ème gén 8go 512go ssd - silver & bleu,1679000.0, [BU-A2AP5EA],
pc portable hp 15-fd0097nk i5 13è gén 8g 512go ssd - noir,1679000.0, [BU-A2AP8EA],
pc portable asus vivobook 15 x1502va i5 13è gén 24go 512go ssd - bleu,1679000.0, [X1502VA-NJ147W-24G],
pc portable asus vivobook 15 x1502va i5 13è gén 24go 512go ssd - silver,1685000.0, [X1502VA-NJ231W-24G],
pc portable hp 15-fd0093nk i5 13ème gén 12go 512go ssd - silver & or chaud,1695000.0, [BU-A2AP6EA-12G],
pc portable hp 15-fd0095nk i5 13è gén 12g 512go ssd - silver,1695000.0, [BU-A2AP7EA-12G],
pc portable hp 15-fd0094nk i5 13ème gén 12go 512go ssd - silver & bleu,1695000.0, [BU-A2AP5EA-12G],
pc portable hp 15-fd0097nk i5 13è gén 12g 512go ssd - noir,1695000.0, [BU-A2AP8EA-12G],
pc portable asus vivobook 16 x1605va i5 13è gén 16go 512go ssd - silver,1699000.0, [X1605VA-MB475W-16G],
pc portable lenovo ideapad 1 15alc7 amd ryzen 7 8go 512go ssd - gris,1699000.0, [82R400KVFG],
pc portable lenovo v15 g4 iru i5 13è gén 24go 512g ssd - noir,1705000.0, [BU-83A1009HFE-24G-W11P],
pc portable hp 15-fd0041nk i5 13è gén 16go 512go ssd - silver & bleu,1709000.0, [9D6V9EA-16G],
pc portable hp 15-fd0042nk i5 13è gén 16go 512go ssd - silver,1709000.0, [9D6W0EA-16G],
pc portable hp 15-fd0048nk i5 13è gén 16go 512go ssd - silver & or chaud,1709000.0, [9D6W1EA-16G],
pc portable hp 15-fd0095nk i5 13è gén 24go 512go ssd - silver,1715000.0, [A2AP7EA-24G],
pc portable hp 15-fd0093nk i5 13è gén 24go 512go ssd - silver & or chaud,1715000.0, [A2AP6EA-24G],
pc portable hp 15-fd0094nk i5 13è gén 24go 512go ssd - silver & bleu,1715000.0, [A2AP5EA-24G],
pc portable hp 15-fd0097nk i5 13è gén 24go 512go ssd - noir,1715000.0, [A2AP8EA-24G],
pc portable hp 15-fd0093nk i5 13ème gén 16go 512go ssd - silver & or chaud,1729000.0, [BU-A2AP6EA-16G],
pc portable hp 15-fd0095nk i5 13è gén 16g 512go ssd - silver,1729000.0, [BU-A2AP7EA-16G],
pc portable hp 15-fd0094nk i5 13ème gén 16go 512go ssd - silver & bleu,1729000.0, [BU-A2AP5EA-16G],
pc portable hp 15-fd0097nk i5 13è gén 16g 512go ssd - noir,1729000.0, [BU-A2AP8EA-16G],
pc portable lenovo ideapad 1 15alc7 amd ryzen 7 12go 512go ssd - gris,1729000.0, [82R400KVFG-12G],
pc portable asus vivobook 16 x1605va i5 13è gén 24go 512go ssd - silver,1739000.0, [X1605VA-MB475W-24G],
pc portable hp 15-fd0041nk i5 13è gén 24go 512go ssd - silver & bleu,1749000.0, [9D6V9EA-24G],
pc portable hp 15-fd0042nk i5 13è gén 24go 512go ssd - silver,1749000.0, [9D6W0EA-24G],
pc portable hp 15-fd0048nk i5 13è gén 24go 512go ssd - silver & or chaud,1749000.0, [9D6W1EA-24G],
pc portable hp 15-fd0097nk i5 13è gén 32go 512go ssd - noir,1755000.0, [A2AP8EA-32G],
pc portable lenovo ideapad 1 15alc7 amd ryzen 7 16go 512go ssd - gris,1755000.0, [82R400KVFG-16G],
pc portable hp 15-fd0093nk i5 13ème gén 24go 512go ssd - silver & or chaud,1775000.0, [BU-A2AP6EA-24G],
pc portable hp 15-fd0095nk i5 13è gén 24g 512go ssd - silver,1775000.0, [BU-A2AP7EA-24G],
pc portable hp 15-fd0094nk i5 13ème gén 24go 512go ssd - silver & bleu,1775000.0, [BU-A2AP5EA-24G],
pc portable hp 15-fd0097nk i5 13è gén 24g 512go ssd - noir,1775000.0, [BU-A2AP8EA-24G],
pc portable lenovo ideapad slim 3 15abr8 amd ryzen 7 8go 512go ssd - gris,1775000.0, [82XM006NFG],
pc portable lenovo thinkbook 16 g6 abp amd ryzen 7 8g 512go ssd - gris,1799000.0, [BU-21KK004FFE],
