title,price,reference,description
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 8Go 256Go SSD - Silver,"1 069,000 DT", [X1504VA-NJ520W-8G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 8Go 256Go SSD - Bleu,"1 069,000 DT", [X1504VA-NJ519W-8G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12è Gén 12Go 256Go SSD - Bleu,"1 075,000 DT", [82QD00AQFE-12G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 16Go 512Go SSD - Gris,"1 079,000 DT", [82QD00G1FG-16G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12è Gén 12Go 256Go SSD - Gris,"1 079,000 DT", [82QD00C2FG-12G],
,,,
,,,
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 12Go 256G SSD - Silver,"1 089,000 DT", [X1504VA-NJ432W-12G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 16G 256G SSD - Gris,"1 089,000 DT", [BU-82QD00E2FE-16G-W11P],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 12Go 256G SSD - Bleu,"1 089,000 DT", [X1504VA-NJ480W-12G],
PC Portable LENOVO V15 G3 IAP i3 12è Gén 20Go 256Go SSD - Noir,"1 095,000 DT", [82TT00J2FE-20G],
Pc Portable DELL Vostro 3520 i3 12è Gén 24Go 512Go SSD - Noir,"1 095,000 DT", [V3520-I3-512SSD-24G],
PC Portable ASUS ExpertBook B2 B2502C i3 12è Gén 8Go 512Go SSD - Noir,"1 109,000 DT", [B2502CBA-KJ1662],
Pc Portable DELL Vostro 3530 i3 13è Gén 8Go 256Go SSD - Noir,"1 109,000 DT", [VOSTRO-3530-I3-256SSD],
Pc Portable HP 15-fd0060nk I3-N305 8Go 256Go SSD - Silver,"1 109,000 DT", [A2AP4EA],
Pc Portable HP 15-fd0057nk I3-N305 8Go 256Go SSD - Silver & Bleu,"1 109,000 DT", [A2AP3EA],
Pc Portable HP 15-fd0056nk I3-N305 8Go 256Go SSD - Silver & Or Chaud,"1 109,000 DT", [A2AP2EA],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 12Go 256Go SSD - Silver,"1 109,000 DT", [X1504VA-NJ520W-12G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 12Go 256Go SSD - Bleu,"1 109,000 DT", [X1504VA-NJ519W-12G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12è Gén 16Go 256Go SSD - Gris,"1 109,000 DT", [82QD00C2FG-16G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12è Gén 20Go 256Go SSD - Bleu,"1 119,000 DT", [82QD00AQFE-20G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 16Go 256G SSD - Silver,"1 129,000 DT", [X1504VA-NJ432W-16G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 16Go 256G SSD - Bleu,"1 129,000 DT", [X1504VA-NJ480W-16G],
PC Portable ASUS Chromebook CX1 Pentium Silver N6000 8Go 32Go eMMC - Silver,"1 129,000 DT", [CX1500CKA-EJ0021],
Pc Portable HP 15-fc0030nk AMD RYZEN 3 8Go 512Go SSD - Silver & Or Chaud,"1 129,000 DT", [A2AN7EA],
PC Portable LENOVO IdeaPad Slim 3 15IRU8 i3 13è Gén 8G 256Go SSD - Gris,"1 129,000 DT", [BU-82X7009RFG-W11P],
PC Portable ASUS ExpertBook B2 B2502C i3 12è Gén 12Go 512Go SSD - Noir,"1 139,000 DT", [B2502CBA-KJ1662-12G],
Pc Portable DELL Vostro 3520 i3 12è Gén 32Go 512Go SSD - Noir,"1 149,000 DT", [V3520-I3-512SSD-32G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 20Go 256Go SSD - Silver,"1 149,000 DT", [X1504VA-NJ520W-20G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 20Go 256Go SSD - Bleu,"1 149,000 DT", [X1504VA-NJ519W-20G],
PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 8Go 256Go SSD - Gris,"1 149,000 DT", [82H802B0FE-8G],
Pc Portable HP 15-fd0060nk I3-N305 16Go 256Go SSD - Silver,"1 159,000 DT", [A2AP4EA-16G],
,,,
,,,
Pc Portable HP 15-fd0057nk I3-N305 16Go 256Go SSD - Silver & Bleu,"1 159,000 DT", [A2AP3EA-16G],
Pc Portable HP 15-fd0056nk I3-N305 16Go 256Go SSD - Silver & Or Chaud,"1 159,000 DT", [A2AP2EA-16G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12è Gén 24Go 256Go SSD - Gris,"1 165,000 DT", [82QD00C2FG-24G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 24Go 256G SSD - Silver,"1 169,000 DT", [X1504VA-NJ432W-24G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 24Go 256G SSD - Bleu,"1 169,000 DT", [X1504VA-NJ480W-24G],
Pc Portable HP 15-fd0056nk I3-N305 8G 256Go SSD - Silver & Or Chaud,"1 169,000 DT", [BU-A2AP2EA],
Pc Portable HP 15-fd0057nk I3-N305 8G 256Go SSD - Silver & Bleu,"1 169,000 DT", [BU-A2AP3EA],
Pc Portable HP 15-fd0060nk I3-N305 8G 256Go SSD - Silver,"1 169,000 DT", [BU-A2AP4EA],
Pc Portable HP 15-fd0055nk I3-N305 8Go 512Go SSD - Noir,"1 169,000 DT", [A2AP1EA],
Pc Portable HP 15-fd0053nk I3-N305 8Go 512Go SSD - Silver ,"1 169,000 DT", [A2AP0EA],
Pc Portable HP 15-fd0051nk I3-N305 8Go 512Go SSD - Silver & Or Chaud,"1 169,000 DT", [A2AN9EA],
PC Portable ASUS ExpertBook B2 B2502C i3 12è Gén 16Go 512Go SSD - Noir,"1 179,000 DT", [B2502CBA-KJ1662-16G],
Pc Portable HP 15-fd0056nk I3-N305 16G 256Go SSD - Silver & Or Chaud,"1 219,000 DT", [BU-A2AP2EA-16G],
Pc Portable HP 15-fd0057nk I3-N305 16G 256Go SSD - Silver & Bleu,"1 219,000 DT", [BU-A2AP3EA-16G],
Pc Portable HP 15-fd0060nk I3-N305 16G 256Go SSD - Silver,"1 219,000 DT", [BU-A2AP4EA-16G],
