title,price
PC Portable Lenovo IdeaPad 1 15ALC7 / Ryzen 5 5500U / 8 Go / 512 Go SSD / Bleu / Windows 11 Avec Sacoche Lenovo Offerte,"1 299,000 DT"
PC Portable Lenovo IdeaPad Slim 3 15AMN8 / Ryzen 5 7520U / 8 Go / 512 Go SSD / Gris / Windows 11 Avec Sacoche Lenovo Offerte,"1 309,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 12 Go / 256 Go SSD / Windows 11 / Silver + Imprimante À Réservoir Intégré Couleur Epson L121,"1 309,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 12 Go / 256 Go SSD / Windows 11 / Bleu   Avec Imprimante À Réservoir Intégré Couleur Epson EcoTank L121,"1 309,000 DT"
PC Portable Lenovo IdeaPad Slim 3 15AMN8 / Ryzen 5 7520U / 8 Go / 512 Go SSD / Gris / Windows 11 Avec Sacoche Lenovo Offerte,"1 309,000 DT"
Pc Portable DELL Vostro 3520 / i5-1235U / 16 Go / 256 Go SSD / Noir AVEC SACOCHE OFFERTE,"1 309,000 DT"
Pc Portable HP 15-fc0018nk / Ryzen 3 7320U / 8 Go /Silver,"1 319,000 DT"
Pc Portable HP15-FD0027NK / i3-N305 / 16 Go / Windows 11 / Gris   + Sac à dos HP Offert,"1 319,000 DT"
Pc Portable HP15-FD0026NK / i3-N305 / 16 Go / Windows 11 / Bleu + SAC À DOS HP OFFERT,"1 319,000 DT"
Pc Portable DELL VOSTRO 3520 / i5-1235U / 12 Go / 512 Go SSD / Noir,"1 319,000 DT"
PC Portable Lenovo IdeaPad 1 15ALC7 / Ryzen 5 5500U / 12 Go / 512 Go SSD / Bleu / Windows 11 Avec Sacoche Lenovo Offerte,"1 319,000 DT"
Pc Portable HP 15-fd0051nk / i3-N305 / 32 Go / 512 Go SSD / Gold,"1 329,000 DT"
Pc Portable HP 15-fc0018nk / Ryzen 3 7320U / 8 Go /Silver AVEC SACOCHE OFFERTE,"1 329,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 16 Go / 256 Go SSD / Windows 11 / Bleu   Avec Imprimante À Réservoir Intégré Couleur Epson EcoTank L121,"1 349,000 DT"
Pc Portable DELL Vostro 3520 / i5-1235U / 8 Go / Noir,"1 349,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 16 Go / 256 Go SSD / Windows 11 / Silver + Imprimante À Réservoir Intégré Couleur Epson L121,"1 349,000 DT"
PC Portable Lenovo IdeaPad 1 15ALC7 / Ryzen 5 5500U / 16 Go / 512 Go SSD / Bleu / Windows 11 Avec Sacoche Lenovo Offerte,"1 355,000 DT"
Pc Portable DELL VOSTRO 3520 / i5-1235U / 16 Go / 512 Go SSD / Noir,"1 359,000 DT"
Pc Portable DELL VOSTRO 3520 / i5-1235U / 8 Go / 512 Go SSD / Windows 11 Pro / Noir,"1 359,000 DT"
Pc Portable HP 15-fd0053nk / i3-N305 / 32 Go / 512 Go SSD / Silver,"1 359,000 DT"
Pc Portable HP 15-fd0055nk / i3-N305 / 32 Go / 512 Go SSD / Noir,"1 359,000 DT"
PC PORTABLE LENOVO IP1 / AMD Ryzen5 7520U / 16G 512SSD /  GRIS /  Windows 11 AVEC SACOCHE OFFERT,"1 389,000 DT"
PC Portable Acer Swift 3 SF314 / i5 11é Gén / 8 Go / 256 Go SSD / Bleu,"1 389,000 DT"
